CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source
101001105294,06/08/2014 05:32:08 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call
101000305253,07/22/2011 06:57:07 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call
101001080421,05/02/2014 01:30:52 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call
101001041587,03/06/2014 09:01:37 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call
101000927168,09/14/2013 01:29:19 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,44 Boylston St  Jamaica Plain  MA  02130,9,02,6,E13,Jamaica Plain,11,Ward 19,1901,R3,44 Boylston St,02130,42.3181,-71.1082,Constituent Call
101000864117,06/20/2013 01:54:49 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call
101000947328,10/16/2013 10:10:40 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,5 Clarkson St  Dorchester  MA  02125,7,03,3,C11,Dorchester,8,15,1504,,5 Clarkson St,02125,42.3594,-71.0587,Constituent Call
101001117271,06/27/2014 10:43:51 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,8 Robinwood Ave  Jamaica Plain  MA  02130,9,02,6,E13,Jamaica Plain,11,19,1904,,8 Robinwood Ave,02130,42.3594,-71.0587,Constituent Call
101001099132,05/28/2014 03:27:12 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,4 Charles St  Boston  MA  02108,3,1C,8,A1,Boston,14,5,503,,4 Charles St,02108,42.3594,-71.0587,Constituent Call
101000468168,08/22/2012 11:07:18 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call
101000443187,06/29/2012 11:42:38 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call
101000383309,02/10/2012 12:46:07 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,1733 Commonwealth Ave  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2113,R2,1733 Commonwealth Ave,02135,42.3419,-71.1491,Self Service
101001112608,06/20/2014 12:47:57 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,120 Huntington Ave  Boston  MA  02116,4,1C,2,D4,Back Bay,6,04,402,,120 Huntington Ave,02116,42.3594,-71.0587,Self Service
101001141756,08/01/2014 11:23:12 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call
101001148191,08/12/2014 07:32:25 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call
101001149336,08/13/2014 09:50:21 AM,,Open,Case Closed VIOCOR: Violation Corrected,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,46 Temple St  Boston  MA  02114,3,1B,1,A1,Boston,3,3,306,E,46 Temple St,02114,42.3594,-71.0587,Constituent Call
101001150964,08/15/2014 10:18:21 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call
101001152630,08/18/2014 05:25:25 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call
101001152208,08/18/2014 11:35:05 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,79 Holworthy St  Dorchester  MA  02121,9,10B,7,B2,Dorchester,13,12,1208,,79 Holworthy St,02121,42.3594,-71.0587,Constituent Call
101001152206,08/18/2014 11:32:39 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call
101001165447,09/05/2014 12:21:15 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call
101001166584,09/08/2014 08:59:37 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call
101001166834,09/08/2014 11:07:59 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call
101001044808,03/11/2014 11:19:36 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,13 Kenilworth St  Roxbury  MA  02119,7,10B,7,B2,Roxbury,13,Ward 9,905,R2,13 Kenilworth St,02119,42.3289,-71.0875,Constituent Call
101001051624,03/21/2014 10:32:23 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,17 Gordon St  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2106,CD,17 Gordon St,02134,42.3535,-71.141,Constituent Call
101000999375,01/06/2014 05:10:35 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,690 Massachusetts Ave  Roxbury  MA  02118,4,1C,2,D4,South End,6,Ward 8,802,CM,690 Massachusetts Ave,02118,42.3355,-71.0753,Constituent Call
